Version,File Name,Size(LOC), LOC_Touched,NR,NAuth,LOC_Added,MAX_LOC_Added,AVG_LOC_Added,Churn,MAX_Churn,AVG_Churn,Buggy
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java,617,667,5,2,620,607,0,614,604,122,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java,71,77,4,2,71,61,0,71,61,17,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java,345,351,3,1,345,343,0,345,343,115,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java,261,261,1,1,261,261,0,261,261,261,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java,258,298,4,3,258,256,0,258,256,64,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java,242,308,6,3,242,232,0,242,232,40,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java,305,373,6,3,307,305,0,303,303,50,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java,219,275,3,2,225,222,0,213,216,71,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java,1040,1354,10,3,1089,720,0,991,708,99,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java,92,106,3,3,92,90,0,92,90,30,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/CloseTest.java,75,91,3,2,75,74,0,75,74,25,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java,188,218,6,3,188,178,0,188,178,31,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java,118,126,3,2,118,116,0,118,116,39,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java,55,55,1,1,55,55,0,55,55,55,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java,154,200,4,3,164,163,0,144,153,36,NO
2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,215,239,3,1,215,177,0,215,177,71,NO
2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,271,297,2,1,271,260,0,271,260,135,NO
2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,451,617,5,3,455,425,0,447,421,89,YES
2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,368,462,7,3,124,282,0,359,249,51,YES
2,bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java,216,224,4,2,216,211,0,216,211,54,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,764,1406,34,4,175,106,0,327,522,9,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,150,68,5,4,58,58,0,150,81,30,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,180,0,4,2,0,0,0,180,168,45,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,196,208,2,1,196,195,0,196,195,98,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,473,720,21,4,142,239,0,293,447,13,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ExitCode.java,40,40,1,1,40,40,0,40,40,40,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,255,201,9,3,51,75,0,255,124,28,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,379,421,4,3,379,227,0,379,211,94,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java,509,581,7,3,525,378,0,493,368,70,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactory.java,32,32,1,1,32,32,0,32,32,32,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactoryImpl.java,66,82,2,1,69,69,0,63,66,31,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,187,237,4,2,189,183,0,185,181,46,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java,576,602,3,2,576,550,0,576,550,192,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java,158,164,3,1,158,157,0,158,157,52,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,46,761,15,4,37,92,0,-499,533,-34,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,788,894,7,3,788,712,0,788,712,112,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,62,235,10,3,36,36,0,-61,100,-7,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorImpl.java,88,148,2,1,113,113,0,63,88,31,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorReadOnlyImpl.java,52,58,2,1,53,53,0,51,52,25,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,163,12,5,3,6,6,0,163,151,32,NO
