Dataset,#Training Release,%Training,%Defective in training,%Defective in testing,classifier,balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,ROC Area, Kappa
BOOKKEEPER,3,0.659,0.405,0.225,IBk,2,0,20,45,86,18,0.31,0.53,0.58,0.15
BOOKKEEPER,3,0.659,0.405,0.225,NaiveBayes,3,0,11,19,112,27,0.37,0.29,0.74,0.16
BOOKKEEPER,3,0.659,0.405,0.225,RandomForest,3,0,12,21,110,26,0.36,0.32,0.63,0.16
BOOKKEEPER,3,0.659,0.405,0.225,IBk,3,0,22,46,85,16,0.32,0.58,0.61,0.18
BOOKKEEPER,3,0.659,0.405,0.225,NaiveBayes,4,0,19,26,105,19,0.42,0.50,0.64,0.28
BOOKKEEPER,3,0.659,0.405,0.225,RandomForest,4,0,19,26,105,19,0.42,0.50,0.64,0.28
BOOKKEEPER,3,0.659,0.405,0.225,IBk,4,0,19,26,105,19,0.42,0.50,0.64,0.28
BOOKKEEPER,3,0.659,0.405,0.225,NaiveBayes,1,1,13,18,113,25,0.42,0.34,0.74,0.22
BOOKKEEPER,3,0.659,0.405,0.225,RandomForest,1,1,9,14,117,29,0.39,0.24,0.69,0.15
BOOKKEEPER,3,0.659,0.405,0.225,IBk,1,1,17,32,99,21,0.35,0.45,0.60,0.18
BOOKKEEPER,3,0.659,0.405,0.225,NaiveBayes,2,1,11,18,113,27,0.38,0.29,0.75,0.17
BOOKKEEPER,3,0.659,0.405,0.225,RandomForest,2,1,9,13,118,29,0.41,0.24,0.71,0.16
BOOKKEEPER,3,0.659,0.405,0.225,IBk,2,1,20,33,98,18,0.38,0.53,0.67,0.24
BOOKKEEPER,3,0.659,0.405,0.225,NaiveBayes,3,1,12,18,113,26,0.40,0.32,0.75,0.19
BOOKKEEPER,3,0.659,0.405,0.225,RandomForest,3,1,11,17,114,27,0.39,0.29,0.66,0.18
BOOKKEEPER,3,0.659,0.405,0.225,IBk,3,1,22,48,83,16,0.31,0.58,0.61,0.16
BOOKKEEPER,3,0.659,0.405,0.225,NaiveBayes,4,1,15,16,115,23,0.48,0.39,0.66,0.29
BOOKKEEPER,3,0.659,0.405,0.225,RandomForest,4,1,15,16,115,23,0.48,0.39,0.66,0.29
BOOKKEEPER,3,0.659,0.405,0.225,IBk,4,1,15,16,115,23,0.48,0.39,0.66,0.29
BOOKKEEPER,4,0.740,0.343,0.339,NaiveBayes,1,0,19,9,106,40,0.68,0.32,0.77,0.28
BOOKKEEPER,4,0.740,0.343,0.339,RandomForest,1,0,36,2,113,23,0.95,0.61,0.90,0.65
BOOKKEEPER,4,0.740,0.343,0.339,IBk,1,0,38,2,113,21,0.95,0.64,0.83,0.68
BOOKKEEPER,4,0.740,0.343,0.339,NaiveBayes,2,0,19,13,102,40,0.59,0.32,0.76,0.24
BOOKKEEPER,4,0.740,0.343,0.339,RandomForest,2,0,42,4,111,17,0.91,0.71,0.92,0.72
BOOKKEEPER,4,0.740,0.343,0.339,IBk,2,0,39,4,111,20,0.91,0.66,0.81,0.67
BOOKKEEPER,4,0.740,0.343,0.339,NaiveBayes,3,0,20,13,102,39,0.61,0.34,0.75,0.25
BOOKKEEPER,4,0.740,0.343,0.339,RandomForest,3,0,46,11,104,13,0.81,0.78,0.89,0.69
BOOKKEEPER,4,0.740,0.343,0.339,IBk,3,0,42,12,103,17,0.78,0.71,0.81,0.62
BOOKKEEPER,4,0.740,0.343,0.339,NaiveBayes,4,0,27,6,109,32,0.82,0.46,0.73,0.45
BOOKKEEPER,4,0.740,0.343,0.339,RandomForest,4,0,27,6,109,32,0.82,0.46,0.73,0.45
BOOKKEEPER,4,0.740,0.343,0.339,IBk,4,0,27,6,109,32,0.82,0.46,0.73,0.45
BOOKKEEPER,4,0.740,0.343,0.339,NaiveBayes,1,1,18,8,107,41,0.69,0.31,0.77,0.27
BOOKKEEPER,4,0.740,0.343,0.339,RandomForest,1,1,34,1,114,25,0.97,0.58,0.91,0.63
BOOKKEEPER,4,0.740,0.343,0.339,IBk,1,1,38,4,111,21,0.90,0.64,0.82,0.66
BOOKKEEPER,4,0.740,0.343,0.339,NaiveBayes,2,1,19,9,106,40,0.68,0.32,0.77,0.28
BOOKKEEPER,4,0.740,0.343,0.339,RandomForest,2,1,43,8,107,16,0.84,0.73,0.91,0.68
BOOKKEEPER,4,0.740,0.343,0.339,IBk,2,1,42,13,102,17,0.76,0.71,0.82,0.61
BOOKKEEPER,4,0.740,0.343,0.339,NaiveBayes,3,1,20,10,105,39,0.67,0.34,0.76,0.29
BOOKKEEPER,4,0.740,0.343,0.339,RandomForest,3,1,43,11,104,16,0.80,0.73,0.90,0.65
BOOKKEEPER,4,0.740,0.343,0.339,IBk,3,1,45,17,98,14,0.73,0.76,0.82,0.61
BOOKKEEPER,4,0.740,0.343,0.339,NaiveBayes,4,1,25,11,104,34,0.69,0.42,0.67,0.36
BOOKKEEPER,4,0.740,0.343,0.339,RandomForest,4,1,25,11,104,34,0.69,0.42,0.67,0.36
BOOKKEEPER,4,0.740,0.343,0.339,IBk,4,1,25,11,104,34,0.69,0.42,0.67,0.36
BOOKKEEPER,5,0.772,0.342,0.283,NaiveBayes,1,0,21,18,124,35,0.54,0.38,0.78,0.27
BOOKKEEPER,5,0.772,0.342,0.283,RandomForest,1,0,43,19,123,13,0.69,0.77,0.92,0.61
BOOKKEEPER,5,0.772,0.342,0.283,IBk,1,0,46,21,121,10,0.69,0.82,0.84,0.64
BOOKKEEPER,5,0.772,0.342,0.283,NaiveBayes,2,0,22,18,124,34,0.55,0.39,0.78,0.29
BOOKKEEPER,5,0.772,0.342,0.283,RandomForest,2,0,45,18,124,11,0.71,0.80,0.92,0.65
BOOKKEEPER,5,0.772,0.342,0.283,IBk,2,0,47,29,113,9,0.62,0.84,0.86,0.57
BOOKKEEPER,5,0.772,0.342,0.283,NaiveBayes,3,0,20,21,121,36,0.49,0.36,0.77,0.23
BOOKKEEPER,5,0.772,0.342,0.283,RandomForest,3,0,47,38,104,9,0.55,0.84,0.89,0.49
BOOKKEEPER,5,0.772,0.342,0.283,IBk,3,0,49,48,94,7,0.51,0.88,0.77,0.44
BOOKKEEPER,5,0.772,0.342,0.283,NaiveBayes,4,0,45,21,121,11,0.68,0.80,0.87,0.62
BOOKKEEPER,5,0.772,0.342,0.283,RandomForest,4,0,45,21,121,11,0.68,0.80,0.87,0.62
BOOKKEEPER,5,0.772,0.342,0.283,IBk,4,0,45,21,121,11,0.68,0.80,0.87,0.62
BOOKKEEPER,5,0.772,0.342,0.283,NaiveBayes,1,1,19,15,127,37,0.56,0.34,0.78,0.27
BOOKKEEPER,5,0.772,0.342,0.283,RandomForest,1,1,46,13,129,10,0.78,0.82,0.94,0.72
BOOKKEEPER,5,0.772,0.342,0.283,IBk,1,1,44,13,129,12,0.77,0.79,0.86,0.69
BOOKKEEPER,5,0.772,0.342,0.283,NaiveBayes,2,1,19,17,125,37,0.53,0.34,0.78,0.25
BOOKKEEPER,5,0.772,0.342,0.283,RandomForest,2,1,47,19,123,9,0.71,0.84,0.93,0.67
BOOKKEEPER,5,0.772,0.342,0.283,IBk,2,1,44,17,125,12,0.72,0.79,0.83,0.65
BOOKKEEPER,5,0.772,0.342,0.283,NaiveBayes,3,1,20,17,125,36,0.54,0.36,0.78,0.26
BOOKKEEPER,5,0.772,0.342,0.283,RandomForest,3,1,50,29,113,6,0.63,0.89,0.92,0.61
BOOKKEEPER,5,0.772,0.342,0.283,IBk,3,1,48,34,108,8,0.59,0.86,0.81,0.54
BOOKKEEPER,5,0.772,0.342,0.283,NaiveBayes,4,1,47,40,102,9,0.54,0.84,0.81,0.48
BOOKKEEPER,5,0.772,0.342,0.283,RandomForest,4,1,47,40,102,9,0.54,0.84,0.81,0.48
BOOKKEEPER,5,0.772,0.342,0.283,IBk,4,1,47,40,102,9,0.54,0.84,0.81,0.48
BOOKKEEPER,6,0.793,0.329,0.273,NaiveBayes,1,0,33,19,146,29,0.63,0.53,0.81,0.44
BOOKKEEPER,6,0.793,0.329,0.273,RandomForest,1,0,39,23,142,23,0.63,0.63,0.86,0.49
BOOKKEEPER,6,0.793,0.329,0.273,IBk,1,0,38,22,143,24,0.63,0.61,0.76,0.48
BOOKKEEPER,6,0.793,0.329,0.273,NaiveBayes,2,0,32,19,146,30,0.63,0.52,0.80,0.42
BOOKKEEPER,6,0.793,0.329,0.273,RandomForest,2,0,39,27,138,23,0.59,0.63,0.85,0.46
BOOKKEEPER,6,0.793,0.329,0.273,IBk,2,0,40,24,141,22,0.62,0.65,0.78,0.49
BOOKKEEPER,6,0.793,0.329,0.273,NaiveBayes,3,0,35,21,144,27,0.62,0.56,0.82,0.45
BOOKKEEPER,6,0.793,0.329,0.273,RandomForest,3,0,45,33,132,17,0.58,0.73,0.85,0.49
BOOKKEEPER,6,0.793,0.329,0.273,IBk,3,0,43,37,128,19,0.54,0.69,0.74,0.43
BOOKKEEPER,6,0.793,0.329,0.273,NaiveBayes,4,0,25,27,138,37,0.48,0.40,0.70,0.25
BOOKKEEPER,6,0.793,0.329,0.273,RandomForest,4,0,25,27,138,37,0.48,0.40,0.70,0.25
BOOKKEEPER,6,0.793,0.329,0.273,IBk,4,0,25,27,138,37,0.48,0.40,0.70,0.25
BOOKKEEPER,6,0.793,0.329,0.273,NaiveBayes,1,1,29,21,144,33,0.58,0.47,0.80,0.36
BOOKKEEPER,6,0.793,0.329,0.273,RandomForest,1,1,39,22,143,23,0.64,0.63,0.85,0.50
BOOKKEEPER,6,0.793,0.329,0.273,IBk,1,1,38,19,146,24,0.67,0.61,0.77,0.51
BOOKKEEPER,6,0.793,0.329,0.273,NaiveBayes,2,1,30,24,141,32,0.56,0.48,0.81,0.35
BOOKKEEPER,6,0.793,0.329,0.273,RandomForest,2,1,43,26,139,19,0.62,0.69,0.86,0.52
BOOKKEEPER,6,0.793,0.329,0.273,IBk,2,1,39,21,144,23,0.65,0.63,0.78,0.51
BOOKKEEPER,6,0.793,0.329,0.273,NaiveBayes,3,1,29,24,141,33,0.55,0.47,0.80,0.34
BOOKKEEPER,6,0.793,0.329,0.273,RandomForest,3,1,47,33,132,15,0.59,0.76,0.86,0.51
BOOKKEEPER,6,0.793,0.329,0.273,IBk,3,1,41,37,128,21,0.53,0.66,0.72,0.40
BOOKKEEPER,6,0.793,0.329,0.273,NaiveBayes,4,1,45,55,110,17,0.45,0.73,0.75,0.33
BOOKKEEPER,6,0.793,0.329,0.273,RandomForest,4,1,45,55,110,17,0.45,0.73,0.75,0.33
BOOKKEEPER,6,0.793,0.329,0.273,IBk,4,1,45,55,110,17,0.45,0.73,0.75,0.33
