Dataset,#Training Release,%Training,%Defective in training,%Defective in testing,classifier,balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,ROC Area, Kappa
OPENJPA,11,0.864,0.040,0.045,NaiveBayes,2,0,70,318,2647,71,0.18,0.50,0.76,0.21
OPENJPA,11,0.864,0.040,0.045,RandomForest,2,0,66,45,2920,75,0.59,0.47,0.81,0.50
OPENJPA,11,0.864,0.040,0.045,IBk,2,0,71,214,2751,70,0.25,0.50,0.74,0.29
OPENJPA,11,0.864,0.040,0.045,NaiveBayes,3,0,72,363,2602,69,0.17,0.51,0.76,0.19
OPENJPA,11,0.864,0.040,0.045,RandomForest,3,0,119,1451,1514,22,0.08,0.84,0.83,0.06
OPENJPA,11,0.864,0.040,0.045,IBk,3,0,113,1078,1887,28,0.09,0.80,0.72,0.10
OPENJPA,11,0.864,0.040,0.045,NaiveBayes,4,0,41,254,2711,100,0.14,0.29,0.73,0.13
OPENJPA,11,0.864,0.040,0.045,RandomForest,4,0,41,254,2711,100,0.14,0.29,0.73,0.13
OPENJPA,11,0.864,0.040,0.045,IBk,4,0,41,254,2711,100,0.14,0.29,0.73,0.13
OPENJPA,11,0.864,0.040,0.045,NaiveBayes,1,1,60,116,2849,81,0.34,0.43,0.80,0.35
OPENJPA,11,0.864,0.040,0.045,RandomForest,1,1,54,15,2950,87,0.78,0.38,0.80,0.50
OPENJPA,11,0.864,0.040,0.045,IBk,1,1,64,65,2900,77,0.50,0.45,0.74,0.45
OPENJPA,11,0.864,0.040,0.045,NaiveBayes,2,1,71,185,2780,70,0.28,0.50,0.80,0.32
OPENJPA,11,0.864,0.040,0.045,RandomForest,2,1,69,110,2855,72,0.39,0.49,0.80,0.40
OPENJPA,11,0.864,0.040,0.045,IBk,2,1,72,160,2805,69,0.31,0.51,0.74,0.35
OPENJPA,11,0.864,0.040,0.045,NaiveBayes,3,1,70,178,2787,71,0.28,0.50,0.79,0.32
OPENJPA,11,0.864,0.040,0.045,RandomForest,3,1,108,819,2146,33,0.12,0.77,0.83,0.13
OPENJPA,11,0.864,0.040,0.045,IBk,3,1,108,985,1980,33,0.10,0.77,0.73,0.10
OPENJPA,11,0.864,0.040,0.045,NaiveBayes,4,1,52,161,2804,89,0.24,0.37,0.79,0.25
OPENJPA,11,0.864,0.040,0.045,RandomForest,4,1,52,161,2804,89,0.24,0.37,0.79,0.25
OPENJPA,11,0.864,0.040,0.045,IBk,4,1,52,161,2804,89,0.24,0.37,0.79,0.25
OPENJPA,12,0.867,0.040,0.066,NaiveBayes,1,0,78,81,3213,154,0.49,0.34,0.80,0.36
OPENJPA,12,0.867,0.040,0.066,RandomForest,1,0,69,27,3267,163,0.72,0.30,0.87,0.40
OPENJPA,12,0.867,0.040,0.066,IBk,1,0,83,83,3211,149,0.50,0.36,0.72,0.38
OPENJPA,12,0.867,0.040,0.066,NaiveBayes,2,0,92,114,3180,140,0.45,0.40,0.80,0.38
OPENJPA,12,0.867,0.040,0.066,RandomForest,2,0,90,80,3214,142,0.53,0.39,0.86,0.42
OPENJPA,12,0.867,0.040,0.066,IBk,2,0,91,156,3138,141,0.37,0.39,0.68,0.33
OPENJPA,12,0.867,0.040,0.066,NaiveBayes,3,0,88,96,3198,144,0.48,0.38,0.81,0.39
OPENJPA,12,0.867,0.040,0.066,RandomForest,3,0,201,852,2442,31,0.19,0.87,0.88,0.23
OPENJPA,12,0.867,0.040,0.066,IBk,3,0,173,969,2325,59,0.15,0.75,0.73,0.16
OPENJPA,12,0.867,0.040,0.066,NaiveBayes,4,0,57,67,3227,175,0.46,0.25,0.80,0.29
OPENJPA,12,0.867,0.040,0.066,RandomForest,4,0,57,67,3227,175,0.46,0.25,0.80,0.29
OPENJPA,12,0.867,0.040,0.066,IBk,4,0,57,67,3227,175,0.46,0.25,0.80,0.29
OPENJPA,12,0.867,0.040,0.066,NaiveBayes,1,1,91,96,3198,141,0.49,0.39,0.79,0.40
OPENJPA,12,0.867,0.040,0.066,RandomForest,1,1,62,34,3260,170,0.65,0.27,0.83,0.35
OPENJPA,12,0.867,0.040,0.066,IBk,1,1,71,43,3251,161,0.62,0.31,0.82,0.38
OPENJPA,12,0.867,0.040,0.066,NaiveBayes,2,1,126,215,3079,106,0.37,0.54,0.78,0.39
OPENJPA,12,0.867,0.040,0.066,RandomForest,2,1,106,259,3035,126,0.29,0.46,0.82,0.30
OPENJPA,12,0.867,0.040,0.066,IBk,2,1,104,270,3024,128,0.28,0.45,0.80,0.29
OPENJPA,12,0.867,0.040,0.066,NaiveBayes,3,1,124,232,3062,108,0.35,0.53,0.74,0.37
OPENJPA,12,0.867,0.040,0.066,RandomForest,3,1,181,761,2533,51,0.19,0.78,0.85,0.23
OPENJPA,12,0.867,0.040,0.066,IBk,3,1,163,790,2504,69,0.17,0.70,0.75,0.19
OPENJPA,12,0.867,0.040,0.066,NaiveBayes,4,1,56,39,3255,176,0.59,0.24,0.82,0.32
OPENJPA,12,0.867,0.040,0.066,RandomForest,4,1,56,39,3255,176,0.59,0.24,0.82,0.32
OPENJPA,12,0.867,0.040,0.066,IBk,4,1,56,39,3255,176,0.59,0.24,0.82,0.32
OPENJPA,13,0.878,0.044,0.052,NaiveBayes,1,0,70,115,3379,122,0.38,0.36,0.80,0.34
OPENJPA,13,0.878,0.044,0.052,RandomForest,1,0,73,80,3414,119,0.48,0.38,0.90,0.40
OPENJPA,13,0.878,0.044,0.052,IBk,1,0,86,112,3382,106,0.43,0.45,0.81,0.41
OPENJPA,13,0.878,0.044,0.052,NaiveBayes,2,0,77,149,3345,115,0.34,0.40,0.80,0.33
OPENJPA,13,0.878,0.044,0.052,RandomForest,2,0,102,187,3307,90,0.35,0.53,0.89,0.39
OPENJPA,13,0.878,0.044,0.052,IBk,2,0,104,234,3260,88,0.31,0.54,0.78,0.35
OPENJPA,13,0.878,0.044,0.052,NaiveBayes,3,0,78,167,3327,114,0.32,0.41,0.80,0.32
OPENJPA,13,0.878,0.044,0.052,RandomForest,3,0,173,727,2767,19,0.19,0.90,0.92,0.25
OPENJPA,13,0.878,0.044,0.052,IBk,3,0,163,823,2671,29,0.17,0.85,0.81,0.21
OPENJPA,13,0.878,0.044,0.052,NaiveBayes,4,0,68,105,3389,124,0.39,0.35,0.84,0.34
OPENJPA,13,0.878,0.044,0.052,RandomForest,4,0,68,105,3389,124,0.39,0.35,0.84,0.34
OPENJPA,13,0.878,0.044,0.052,IBk,4,0,68,105,3389,124,0.39,0.35,0.84,0.34
OPENJPA,13,0.878,0.044,0.052,NaiveBayes,1,1,74,147,3347,118,0.33,0.39,0.79,0.32
OPENJPA,13,0.878,0.044,0.052,RandomForest,1,1,54,70,3424,138,0.44,0.28,0.85,0.31
OPENJPA,13,0.878,0.044,0.052,IBk,1,1,56,93,3401,136,0.38,0.29,0.83,0.30
OPENJPA,13,0.878,0.044,0.052,NaiveBayes,2,1,92,251,3243,100,0.27,0.48,0.79,0.30
OPENJPA,13,0.878,0.044,0.052,RandomForest,2,1,90,260,3234,102,0.26,0.47,0.84,0.28
OPENJPA,13,0.878,0.044,0.052,IBk,2,1,85,265,3229,107,0.24,0.44,0.82,0.26
OPENJPA,13,0.878,0.044,0.052,NaiveBayes,3,1,90,253,3241,102,0.26,0.47,0.78,0.29
OPENJPA,13,0.878,0.044,0.052,RandomForest,3,1,149,746,2748,43,0.17,0.78,0.86,0.21
OPENJPA,13,0.878,0.044,0.052,IBk,3,1,128,815,2679,64,0.14,0.67,0.74,0.15
OPENJPA,13,0.878,0.044,0.052,NaiveBayes,4,1,61,90,3404,131,0.40,0.32,0.88,0.32
OPENJPA,13,0.878,0.044,0.052,RandomForest,4,1,61,90,3404,131,0.40,0.32,0.88,0.32
OPENJPA,13,0.878,0.044,0.052,IBk,4,1,61,90,3404,131,0.40,0.32,0.88,0.32
OPENJPA,14,0.891,0.045,0.039,NaiveBayes,1,0,56,122,3428,89,0.31,0.39,0.74,0.32
OPENJPA,14,0.891,0.045,0.039,RandomForest,1,0,59,20,3530,86,0.75,0.41,0.84,0.51
OPENJPA,14,0.891,0.045,0.039,IBk,1,0,85,53,3497,60,0.62,0.59,0.81,0.58
OPENJPA,14,0.891,0.045,0.039,NaiveBayes,2,0,58,165,3385,87,0.26,0.40,0.74,0.28
OPENJPA,14,0.891,0.045,0.039,RandomForest,2,0,62,54,3496,83,0.53,0.43,0.85,0.46
OPENJPA,14,0.891,0.045,0.039,IBk,2,0,91,112,3438,54,0.45,0.63,0.80,0.50
OPENJPA,14,0.891,0.045,0.039,NaiveBayes,3,0,59,169,3381,86,0.26,0.41,0.74,0.28
OPENJPA,14,0.891,0.045,0.039,RandomForest,3,0,99,406,3144,46,0.20,0.68,0.83,0.26
OPENJPA,14,0.891,0.045,0.039,IBk,3,0,109,755,2795,36,0.13,0.75,0.77,0.16
OPENJPA,14,0.891,0.045,0.039,NaiveBayes,4,0,44,33,3517,101,0.57,0.30,0.73,0.38
OPENJPA,14,0.891,0.045,0.039,RandomForest,4,0,44,33,3517,101,0.57,0.30,0.73,0.38
OPENJPA,14,0.891,0.045,0.039,IBk,4,0,44,33,3517,101,0.57,0.30,0.73,0.38
OPENJPA,14,0.891,0.045,0.039,NaiveBayes,1,1,56,133,3417,89,0.30,0.39,0.74,0.30
OPENJPA,14,0.891,0.045,0.039,RandomForest,1,1,43,42,3508,102,0.51,0.30,0.81,0.36
OPENJPA,14,0.891,0.045,0.039,IBk,1,1,54,43,3507,91,0.56,0.37,0.81,0.43
OPENJPA,14,0.891,0.045,0.039,NaiveBayes,2,1,66,270,3280,79,0.20,0.46,0.74,0.23
OPENJPA,14,0.891,0.045,0.039,RandomForest,2,1,81,277,3273,64,0.23,0.56,0.80,0.28
OPENJPA,14,0.891,0.045,0.039,IBk,2,1,84,285,3265,61,0.23,0.58,0.80,0.29
OPENJPA,14,0.891,0.045,0.039,NaiveBayes,3,1,66,278,3272,79,0.19,0.46,0.74,0.23
OPENJPA,14,0.891,0.045,0.039,RandomForest,3,1,97,633,2917,48,0.13,0.67,0.80,0.17
OPENJPA,14,0.891,0.045,0.039,IBk,3,1,97,571,2979,48,0.15,0.67,0.78,0.19
OPENJPA,14,0.891,0.045,0.039,NaiveBayes,4,1,42,57,3493,103,0.42,0.29,0.77,0.32
OPENJPA,14,0.891,0.045,0.039,RandomForest,4,1,42,57,3493,103,0.42,0.29,0.77,0.32
OPENJPA,14,0.891,0.045,0.039,IBk,4,1,42,57,3493,103,0.42,0.29,0.77,0.32
OPENJPA,15,0.901,0.044,0.047,NaiveBayes,1,0,66,107,3447,110,0.38,0.38,0.78,0.35
OPENJPA,15,0.901,0.044,0.047,RandomForest,1,0,104,5,3549,72,0.95,0.59,0.97,0.72
OPENJPA,15,0.901,0.044,0.047,IBk,1,0,100,1,3553,76,0.99,0.57,0.88,0.71
OPENJPA,15,0.901,0.044,0.047,NaiveBayes,2,0,71,151,3403,105,0.32,0.40,0.78,0.32
OPENJPA,15,0.901,0.044,0.047,RandomForest,2,0,121,141,3413,55,0.46,0.69,0.95,0.53
OPENJPA,15,0.901,0.044,0.047,IBk,2,0,114,164,3390,62,0.41,0.65,0.88,0.47
OPENJPA,15,0.901,0.044,0.047,NaiveBayes,3,0,71,152,3402,105,0.32,0.40,0.78,0.32
OPENJPA,15,0.901,0.044,0.047,RandomForest,3,0,160,673,2881,16,0.19,0.91,0.94,0.26
OPENJPA,15,0.901,0.044,0.047,IBk,3,0,145,1056,2498,31,0.12,0.82,0.77,0.14
OPENJPA,15,0.901,0.044,0.047,NaiveBayes,4,0,70,15,3539,106,0.82,0.40,0.83,0.52
OPENJPA,15,0.901,0.044,0.047,RandomForest,4,0,70,15,3539,106,0.82,0.40,0.83,0.52
OPENJPA,15,0.901,0.044,0.047,IBk,4,0,70,15,3539,106,0.82,0.40,0.83,0.52
OPENJPA,15,0.901,0.044,0.047,NaiveBayes,1,1,65,114,3440,111,0.36,0.37,0.77,0.33
OPENJPA,15,0.901,0.044,0.047,RandomForest,1,1,88,1,3553,88,0.99,0.50,0.90,0.65
OPENJPA,15,0.901,0.044,0.047,IBk,1,1,86,3,3551,90,0.97,0.49,0.90,0.64
OPENJPA,15,0.901,0.044,0.047,NaiveBayes,2,1,72,185,3369,104,0.28,0.41,0.77,0.29
OPENJPA,15,0.901,0.044,0.047,RandomForest,2,1,113,121,3433,63,0.48,0.64,0.89,0.53
OPENJPA,15,0.901,0.044,0.047,IBk,2,1,115,132,3422,61,0.47,0.65,0.89,0.52
OPENJPA,15,0.901,0.044,0.047,NaiveBayes,3,1,70,141,3413,106,0.33,0.40,0.80,0.33
OPENJPA,15,0.901,0.044,0.047,RandomForest,3,1,144,546,3008,32,0.21,0.82,0.91,0.28
OPENJPA,15,0.901,0.044,0.047,IBk,3,1,139,633,2921,37,0.18,0.79,0.85,0.23
OPENJPA,15,0.901,0.044,0.047,NaiveBayes,4,1,60,13,3541,116,0.82,0.34,0.82,0.47
OPENJPA,15,0.901,0.044,0.047,RandomForest,4,1,60,13,3541,116,0.82,0.34,0.82,0.47
OPENJPA,15,0.901,0.044,0.047,IBk,4,1,60,13,3541,116,0.82,0.34,0.82,0.47
OPENJPA,16,0.908,0.044,0.040,NaiveBayes,1,0,64,122,3534,87,0.34,0.42,0.79,0.35
OPENJPA,16,0.908,0.044,0.040,RandomForest,1,0,103,24,3632,48,0.81,0.68,0.96,0.73
OPENJPA,16,0.908,0.044,0.040,IBk,1,0,102,35,3621,49,0.74,0.68,0.90,0.70
OPENJPA,16,0.908,0.044,0.040,NaiveBayes,2,0,67,161,3495,84,0.29,0.44,0.79,0.32
OPENJPA,16,0.908,0.044,0.040,RandomForest,2,0,119,106,3550,32,0.53,0.79,0.95,0.61
OPENJPA,16,0.908,0.044,0.040,IBk,2,0,117,145,3511,34,0.45,0.77,0.89,0.54
OPENJPA,16,0.908,0.044,0.040,NaiveBayes,3,0,68,160,3496,83,0.30,0.45,0.79,0.33
OPENJPA,16,0.908,0.044,0.040,RandomForest,3,0,141,605,3051,10,0.19,0.93,0.96,0.27
OPENJPA,16,0.908,0.044,0.040,IBk,3,0,134,987,2669,17,0.12,0.89,0.81,0.15
OPENJPA,16,0.908,0.044,0.040,NaiveBayes,4,0,102,50,3606,49,0.67,0.68,0.89,0.66
OPENJPA,16,0.908,0.044,0.040,RandomForest,4,0,102,50,3606,49,0.67,0.68,0.89,0.66
OPENJPA,16,0.908,0.044,0.040,IBk,4,0,102,50,3606,49,0.67,0.68,0.89,0.66
OPENJPA,16,0.908,0.044,0.040,NaiveBayes,1,1,63,129,3527,88,0.33,0.42,0.79,0.34
OPENJPA,16,0.908,0.044,0.040,RandomForest,1,1,87,14,3642,64,0.86,0.58,0.95,0.68
OPENJPA,16,0.908,0.044,0.040,IBk,1,1,87,27,3629,64,0.76,0.58,0.94,0.64
OPENJPA,16,0.908,0.044,0.040,NaiveBayes,2,1,68,194,3462,83,0.26,0.45,0.79,0.29
OPENJPA,16,0.908,0.044,0.040,RandomForest,2,1,113,144,3512,38,0.44,0.75,0.95,0.53
OPENJPA,16,0.908,0.044,0.040,IBk,2,1,115,156,3500,36,0.42,0.76,0.93,0.52
OPENJPA,16,0.908,0.044,0.040,NaiveBayes,3,1,68,187,3469,83,0.27,0.45,0.79,0.30
OPENJPA,16,0.908,0.044,0.040,RandomForest,3,1,138,544,3112,13,0.20,0.91,0.94,0.28
OPENJPA,16,0.908,0.044,0.040,IBk,3,1,129,677,2979,22,0.16,0.85,0.87,0.22
OPENJPA,16,0.908,0.044,0.040,NaiveBayes,4,1,68,23,3633,83,0.75,0.45,0.86,0.55
OPENJPA,16,0.908,0.044,0.040,RandomForest,4,1,68,23,3633,83,0.75,0.45,0.86,0.55
OPENJPA,16,0.908,0.044,0.040,IBk,4,1,68,23,3633,83,0.75,0.45,0.86,0.55
